BRAND,TYPE,CC,TRANS,FUEL,TANK_CAPT,GVW (Kg),GEAR_RATIO,WHEEL_&_TYRE_SIZE,HP,WHEEL_BASE,Dimention,SEATER,DRIVE_SYS,penggerak,SPEED,DOOR,WHEELS,CBU/CKD,ORIGIN COUNTRY
HONDA,All New  City  IVTEC E AT,1497,CVT,G,40,-,-,16 x  6J,120,2600,4442 x  1694 x  1477,5,4X2,FF,-,4,4,CBU,Thailand
HONDA,All New  City  IVTEC ES AT,1497,AT,G,40,-,-,16 x  6J,120,2600,4442 x  1694 x  1477,5,4X2,FF,-,4,4,CBU,Thailand
HONDA,All New  Civic,1500,CVT,G,57,1285,-,-,141,2700,4542 x  1755 x  1435,5,4X2,FF,-,4,4,CBU,Thailand
HONDA,All New  Civic  Prestige,1500,AT,G,57,1285,-,-,141,2700,4542 x  1755 x  1435,5,4X2,FF,-,4,4,CBU,Thailand
HYUNDAI - HIM,Excel III,1400,MT,G,-,-,-,-,-,-,-,-,4X2,FR,-,4,4,CKD,INA
HYUNDAI - HIM,Ioniq EV,-,AT,EV,-,1970,-,-,-,-,-,5,4X2,-,0,4,4,CBU,Korea
HYUNDAI - HMID,Ioniq EV  Prime,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x  1820 x  1475,5,4X2,-,-,5,4,CBU,South Korea
HYUNDAI - HMID,Ioniq EV  Signature,-,AT,EV,-,1970,-,205/60/R16,-,2700,4470 x  1820 x  1475,5,4X2,-,-,5,4,CBU,South Korea
MERCEDES-BENZ - PC,A  200 Sedan (V177),1332,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,IND
MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),1332,AT,G,43,1950,7,225/45 R18,163,2729,"4,695 x  1,999 x  1430",5,4X2,FF,-,4,4,CBU,IND
TOYOTA,Prius,1500,AT,G,45,1420,3267,195/65 R15,73 / 5200,2700,4460X1745X1480,5,4X2,FF,-,4,4,CBU,Japan
TOYOTA,Limo Taxi,1500,MT,G,42,1035,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA
TOYOTA,Vios  E,1500,MT,G,42,1050,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA
TOYOTA,Vios  E AT,1500,AT,G,42,1055,-,185/60 R15,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA
TOYOTA,Vios  G,1500,MT,G,42,1060,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA
TOYOTA,Vios  G AT,1500,AT,G,42,1080,-,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,-,4,4,CKD,INA
AUDI,A4 2.0 quattro TFSI  A/T,1984,AT,G,63,1485,4436,245/40/R18,211,2808,4701 x  1826 x  1427,5,4X4,4WD,240,4,4,CBU,Germany
AUDI,A6 2.0TFSI AT,1984,AT,G,65,1635,3667,245/45/R18,180,2912,4915 x  1874 x  1455,5,4X2,FF,226,4,4,CKD,INA
AUDI,A6 3.0 Quattro AT,2995,AT,G,75,1815,3692,255/40/R19,300,2912,4915 x  1874 x  1455,5,4X4,4WD,250,4,4,CBU,Germany
BMW,8A36 320I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA
BMW,8C76 320D,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA
BMW,8A96 330I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA
BMW,2U72 M2 Competition,2979,AT,G,52,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
BMW,1J32 M2 CS,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
BMW,12AL M235I XDRIVE,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
BMW,4V32 430I,1997,AT,G,-,2070,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany
BMW,HF32 Z4 SDRIVE30I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,6K32 320I,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany
BMW,JA52 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,JA16 520I,2000,AT,G,60,-,-,-,-,-,-,-,4X2,FR,-,4,4,-,-
BMW,JA56 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,JA92 530E IPERFORMANCE,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
BMW,12AG 530E,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany
BMW,JR16 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,0,4,CKD,INA
BMW,JV22 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
BMW,5R12 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,JR36 530I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia
BMW,5Z36 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia
BMW,JX62 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
BMW,22BP 630I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany
BMW,7T06 730LI,3000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,5Z16 320I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA
BMW,JR12 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,Indonesia
BMW,7T22 740LI,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
BMW,7E26 740LI,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,-,CKD,INA
BMW,740LI,2998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
BMW,AE22 840I,2998,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany
HYUNDAI - HIM,All New  Sonata GLS,2400,AT,G,70,2030,-,-,-,-,4820 x  1835 x  1470,4,4X2,-,-,4,4,CBU,Korea
HONDA,New  ACCORD VTi-L,2354,CVT,G,65,1525,-,-,176,2275,4870 x  1850 x  1465,5,4X2,FF,-,4,4,CBU,Thailand
LEXUS,Lexus  ES 250 H,2494,AT,G,-,-,-,-,181 / 6000,0,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan
LEXUS,Lexus  ES 300 H,2494,AT,G,65,-,-,215 / 55 R17,202 / 5700,2820,4900X1820X1450,4,4X2,FR,0,4,4,CBU,Japan
