price,CC1,HP,SEATER,DOOR,CC,,BRAND
1280000000,2000,211,5,4,2000,,AUDI
1250000000,2000,180,5,4,2000,,AUDI
,3000,300,5,4,3000,,AUDI
,4200,450,5,4,4200,,AUDI
,1300,170,5,4,1300,,AUDI
,1400,0,5,4,1400,,AUDI
,3000,272,7,4,3000,,AUDI
,3000,272,7,4,3000,,AUDI
,2000,211,5,4,2000,,AUDI
,1984,225,5,4,2000,,AUDI
,2000,0,5,5,2000,,BMW
,2000,0,5,5,2000,,BMW
,2000,0,5,5,2000,,BMW
,2979,0,5,4,3000,,BMW
,2979,0,5,0,3000,,BMW
,1998,0,5,0,2000,,BMW
,1997,0,5,2,2000,,BMW
,2000,0,5,4,2000,,BMW
,1998,0,5,0,2000,,BMW
,2000,0,5,4,2000,,BMW
,2000,0,5,4,2000,,BMW
,2000,0,5,4,2000,,BMW
,1998,0,5,0,2000,,BMW
,1998,0,5,0,2000,,BMW
,1998,0,5,0,2000,,BMW
,2000,0,5,4,2000,,BMW
,1998,0,5,4,2000,,BMW
,1998,0,5,4,2000,,BMW
,1998,0,5,4,2000,,BMW
,2000,0,5,4,2000,,BMW
,1998,0,5,0,2000,,BMW
,3000,0,5,4,3000,,BMW
,2000,0,5,5,2000,,BMW
,1998,0,5,4,2000,,BMW
,2998,0,5,0,3000,,BMW
,2979,0,5,4,3000,,BMW
,2998,0,5,4,3000,,BMW
,2998,0,5,0,3000,,BMW
,2993,0,5,4,3000,,BMW
,4400,0,5,4,4400,,BMW
,4400,0,5,4,4400,,BMW
,4395,0,5,0,4400,,BMW
,4400,0,5,4,4400,,BMW
,4395,0,5,0,4400,,BMW
,2993,0,5,4,3000,,BMW
,1500,0,5,0,1500,,BMW
,1500,0,5,0,1500,,BMW
,1499,0,5,0,1500,,BMW
,2000,0,0,4,2000,,BMW
,2000,0,0,4,2000,,BMW
,2000,136,5,5,2000,,BMW
,2000,136,5,5,2000,,BMW
,1998,0,0,3,2000,,BMW
,3000,0,0,4,3000,,BMW
,2000,0,5,4,2000,,BMW
,3000,0,5,4,3000,,BMW
,3000,0,5,4,3000,,BMW
,2993,0,5,0,3000,,BMW
,2979,0,5,4,3000,,BMW
,1998,0,5,0,2000,,BMW
,2993,0,5,0,3000,,BMW
,1998,0,5,0,2000,,BMW
,2000,0,5,4,2000,,BMW
,2998,0,5,0,3000,,BMW
,2998,0,5,0,3000,,BMW
,2000,0,5,4,2000,,BMW
,2998,0,5,0,3000,,BMW
,2998,0,5,4,3000,,BMW
,2998,0,5,4,3000,,BMW
,4400,0,0,4,4400,,BMW
,4400,0,0,4,4400,,BMW
,4395,0,0,0,4400,,BMW
,1398,0,5,0,1400,,CHEVROLET
,1400,0,5,0,1400,,CHEVROLET
,1398,0,5,0,1400,,CHEVROLET
,1800,0,0,0,1800,,CHEVROLET
,2400,0,0,0,2400,,CHEVROLET
,2000,0,0,0,2000,,CHEVROLET
,2500,0,0,0,2500,,CHEVROLET
,2500,0,0,0,2500,,CHEVROLET
,2500,163,5,2,2500,,CHEVROLET
221900000,1329,97,7,5,1300,,DAIHATSU
239300000,1329,97,7,5,1300,,DAIHATSU
232900000,1329,97,7,5,1300,,DAIHATSU
250400000,1329,97,7,5,1300,,DAIHATSU
250100000,1496,104,7,5,1500,,DAIHATSU
264500000,1496,104,7,5,1500,,DAIHATSU
227600000,1298,90,5,5,1300,,DAIHATSU
227600000,1298,90,5,5,1300,,DAIHATSU
236800000,1298,90,5,5,1300,,DAIHATSU
236800000,1298,90,5,5,1300,,DAIHATSU
168050000,1298,88,2,5,1300,,DAIHATSU
212300000,1500,88,2,5,1500,,DAIHATSU
201000000,1298,88,8,5,1300,,DAIHATSU
,1298,88,9,5,1300,,DAIHATSU
,1495,88,9,5,1500,,DAIHATSU
227700000,1495,97,8,5,1500,,DAIHATSU
246900000,1495,97,8,5,1500,,DAIHATSU
259000000,1495,97,8,5,1500,,DAIHATSU
230800000,1496,104,7,5,1500,,DAIHATSU
252800000,1496,104,7,5,1500,,DAIHATSU
264800000,1496,104,7,5,1500,,DAIHATSU
276700000,1496,104,7,5,1500,,DAIHATSU
276900000,1496,104,7,5,1500,,DAIHATSU
288700000,1496,104,7,5,1500,,DAIHATSU
157200000,1298,88,3,2,1300,,DAIHATSU
